,Score,lr,layer1,layer2,layer3,layer4
0,-0.09960848034664191,7.098155589351322,461,132,35,499
1,-0.9415753636645002,0.007877267717470127,413,282,205,469
2,-0.28888888888888886,0.01757754285083498,174,24,261,304
3,-0.9154193748065614,8.063342189432096e-05,251,430,126,257
4,-0.937127824203033,0.0012285799122677028,181,78,379,102
5,-0.09960848034664191,0.1795329505739721,124,446,74,271
6,-0.8013200247601361,1.4904188641939117e-05,273,434,323,296
7,-0.8558820798514392,9.015051977505333e-05,93,199,58,447
8,-0.0996069328381306,2.363923843128813,331,174,362,386
9,-0.9310136180748995,0.0021964338802258846,115,125,383,133
10,-0.928228102754565,0.006052803875073374,429,301,214,467
11,-0.8514175177963479,0.00011014416751668243,82,135,93,158
12,-0.9321200866604767,0.003117061187548509,429,333,255,425
13,-0.9321231816774992,0.0008190282670926708,106,256,69,500
14,-0.9443577839678119,0.0006176203765678342,339,413,460,233
15,-0.9143051686784277,0.0014137777319863213,97,276,500,10
16,-0.9382466728567007,0.001235550255824188,232,149,172,436
17,-0.30151965335809344,0.008077183639121036,500,398,10,500
18,-0.9321185391519654,0.004661835344645084,365,261,229,447
19,-0.923248220365212,0.0003255932134686123,458,354,10,500
20,-0.9376802847415661,0.004138081723890767,407,274,245,462
21,-0.9382311977715878,0.0018826464377599173,389,329,336,357
22,-0.9421371092541009,0.00025822235403141883,469,119,500,250
23,-0.10349427421850818,1e-06,500,10,500,500
24,-0.9393546889507892,0.000426838746987421,344,410,397,319
25,-0.9148529866914267,0.014990545589773844,351,304,500,86
26,-0.9304549675023213,0.0006360666616554667,414,103,500,171
27,-0.9298916744042092,0.0008139482262830474,119,108,340,107
28,-0.9399040544722996,0.00013572320556988897,500,500,500,120
29,-0.24779789538842462,0.015110518393497708,346,276,500,10
30,-0.9410229031259671,0.0006652520822564168,500,500,500,500
31,-0.9388022284122564,0.0006781404966776624,500,500,500,500
32,-0.906522748375116,0.0006425379028605554,500,500,500,10
33,-0.9438022284122562,0.0007235827148976385,500,500,500,500
34,-0.9126338594862272,0.012359288093209828,441,312,403,115
35,-0.9115119158155369,0.004097483349989167,10,319,470,85
36,-0.9415784586815228,0.0007233188978740786,500,500,500,35
37,-0.9182219127205199,0.012647356775258422,319,311,478,117
38,-0.9421386567626122,0.0008360726790914138,500,500,500,75
39,-0.9165459610027854,0.014033495234161173,362,312,317,110
40,-0.9310105230578769,0.00938734315319458,348,221,234,466
41,-0.9148684617765397,0.00022523886196808372,52,262,92,375
42,-0.845897554936552,0.0006255889699821467,10,70,10,491
43,-0.936027545651501,0.0006370575667459938,209,376,110,500
44,-0.08683998761993192,1e-06,111,122,10,10
45,-0.9382265552460538,0.0026706417385464584,500,500,500,452
46,-0.9465769111730115,0.0009922773720736054,500,496,500,360
47,-0.9287805632930981,0.003133143059125496,283,228,10,76
48,-0.9349071494893222,0.0003707988600388543,490,450,500,227
49,-0.9443655215103682,0.0008581339100768388,500,500,500,411
