,Score,lr,layer1,layer2,layer3,layer4
0,-0.027275466013933346,6.1135836106144655e-06,154,74,57,273
1,-0.053128098914203226,0.00012798756214646624,365,479,257,305
2,-0.02267306847423586,3.909232157752082e-06,55,137,215,254
3,-0.021256511642502984,0.050844773349527125,79,155,133,186
4,-0.028341178685746565,0.10386296719037719,490,213,239,88
5,-0.023376012050461303,5.2413206735608985e-06,50,404,433,218
6,-0.024793824138580306,0.022295983315596728,81,50,276,256
7,-0.02196196573150066,0.24159062489057345,150,467,165,471
8,-0.02797903721835185,3.860700360726804e-05,400,60,197,41
9,-0.02904663277474424,3.482285805726673e-06,102,127,206,192
10,-0.031176175233791504,1.3793803359992208e-06,428,324,77,427
11,-0.04818489926567501,0.0003164581274471511,399,110,292,400
12,-0.04888533232912823,0.0003535536879254376,321,460,65,312
13,-0.05526768342433942,0.0004539109692479241,490,207,158,252
14,-0.03648842025983807,4.804399485608735e-05,500,57,192,283
15,-0.03436138831356304,0.0008780694686454423,435,71,485,12
16,-0.0233791501914266,9.409625240149724,319,398,154,31
17,-0.04286010167576727,0.0002590919991410541,415,37,188,235
18,-0.055610368417749335,0.0004349117228007084,500,500,339,413
19,-0.03471474298625494,9.507592214529271e-05,99,268,435,416
20,-0.05809514843406767,0.0003699951773309711,500,500,498,246
21,-0.027272327872968054,0.004685480385398596,491,385,88,478
22,-0.05525513086047825,0.00014705530989468643,500,456,327,500
23,-0.053137513337099096,0.0002219901100744052,499,490,79,124
24,-0.053839829285131494,0.0002079807016374824,500,500,364,333
25,-0.04286135693215339,0.00029523320740998626,500,500,29,500
26,-0.03613129981798783,0.0003241200332784329,500,416,346,10
27,-0.021607983430615704,10.0,500,10,500,500
28,-0.02267495135881504,1.1520944066907666e-06,414,395,65,11
29,-0.05703131864683362,0.0013114529233902098,500,500,500,256
30,-0.021963848616079834,0.00035533118055719855,17,477,19,11
31,-0.026566246155777316,0.0012726869492207377,500,500,10,194
32,-0.05950417372748383,0.000684452658798282,500,500,500,500
33,-0.06057176928387623,0.0004776904198535819,500,500,500,414
34,-0.06128663779576978,0.000861168609567126,500,275,500,435
35,-0.05242515533797778,0.0014883554801931615,124,465,483,431
36,-0.05136446369170903,0.0014728071773102774,500,53,500,500
37,-0.0556122513023285,0.0009934766988211527,500,500,500,406
38,-0.019128852068034895,0.7721125753269633,10,10,500,10
39,-0.02585639866942823,1e-06,500,10,500,500
40,-0.058798719638486166,0.00038802136487863816,500,500,500,500
41,-0.055975648026109326,0.0004815094222442855,500,500,500,370
42,-0.0658840143099228,0.0007412183107197666,500,500,500,500
43,-0.026566873783970373,0.019907379118133006,321,387,497,499
44,-0.060578045565806815,0.0005654364774969082,500,500,500,500
45,-0.025865185464131045,9.641636093725717,83,356,19,484
46,-0.06517416682357371,0.000621569017646524,500,500,500,500
47,-0.037546601393334586,0.0012832154583664933,15,95,496,484
48,-0.027279231783091697,1.055794464712951e-05,493,458,13,464
49,-0.019480323856147615,0.008034386100617583,319,486,486,15
